Date Time,NO2,O3,SO2,CO,PM10,PM2.5,station,aqhi_instant,aqi,aqhi_official
2019-03-22 02:00:00,21.7,31.4,3.6,,16.3,8.1,Sham Shui Po,1.0,33.0,2
2019-03-22 02:00:00,45.9,10.2,8.3,564.7,16.4,10.4,Tsuen Wan,3.0,43.0,2
2019-03-22 02:00:00,10.0,45.6,0.5,,16.5,7.8,Eastern,1.0,32.0,2
2019-03-22 02:00:00,28.0,23.7,3.3,,21.0,13.0,Kwun Tong,2.0,53.0,2
2019-03-22 02:00:00,8.8,47.5,4.2,,13.7,10.3,Central/Western,1.0,43.0,2
2019-03-22 02:00:00,33.2,20.4,1.4,482.3,16.8,11.9,Mong Kok,2.0,50.0,2
2019-03-22 02:00:00,38.1,17.8,4.0,631.7,15.6,11.4,Central,2.0,48.0,2
2019-03-22 03:00:00,47.8,11.5,4.8,605.4,16.7,13.1,Central,3.0,53.0,2
2019-03-22 03:00:00,26.2,26.9,6.7,539.9,18.4,11.5,Tsuen Wan,2.0,48.0,2
2019-03-22 03:00:00,23.8,27.5,2.3,,17.1,12.0,Kwun Tong,2.0,50.0,2
2019-03-22 03:00:00,23.0,28.9,5.4,644.5,26.0,14.2,Tseung Kwan O,2.0,55.0,2
2019-03-22 03:00:00,53.1,2.9,8.6,,24.5,14.8,Kwai Chung,3.0,57.0,2
2019-03-22 03:00:00,10.3,25.1,5.4,286.1,14.5,10.6,Tap Mun,1.0,44.0,2
2019-03-22 03:00:00,20.6,31.0,3.0,,15.3,7.1,Sham Shui Po,1.0,29.0,2
2019-03-22 03:00:00,26.4,18.8,3.2,382.6,19.2,10.4,Yuen Long,2.0,43.0,2
2019-03-22 03:00:00,37.5,18.5,3.9,589.4,17.2,12.2,Tuen Mun,2.0,51.0,2
2019-03-22 03:00:00,35.6,20.7,1.5,364.1,14.1,9.0,Causeway Bay,2.0,38.0,2
2019-03-22 03:00:00,15.8,37.7,4.6,,13.8,10.3,Central/Western,1.0,43.0,2
2019-03-22 03:00:00,13.0,41.5,2.5,,13.6,5.9,Sha Tin,1.0,25.0,2
2019-03-22 03:00:00,18.7,30.0,1.9,,15.0,11.0,Tai Po,1.0,46.0,2
2019-03-22 03:00:00,8.5,48.3,1.4,387.5,14.7,9.4,Tung Chung,1.0,39.0,2
2019-03-22 03:00:00,31.8,23.9,1.0,469.4,14.8,10.3,Mong Kok,2.0,43.0,2
2019-03-22 03:00:00,9.4,44.8,0.8,,16.3,8.5,Eastern,1.0,35.0,2
2019-03-22 04:00:00,25.2,24.8,2.3,580.8,22.0,16.9,Tuen Mun,2.0,61.0,2
2019-03-22 04:00:00,22.6,29.0,1.1,414.8,14.9,10.0,Causeway Bay,1.0,42.0,2
2019-03-22 04:00:00,34.1,19.1,7.0,536.8,15.7,10.1,Tsuen Wan,2.0,42.0,2
2019-03-22 04:00:00,37.8,6.0,2.0,,15.9,12.0,Tai Po,2.0,50.0,2
2019-03-22 04:00:00,35.4,14.6,5.5,669.0,20.2,10.0,Tseung Kwan O,2.0,42.0,2
2019-03-22 04:00:00,45.0,11.2,1.8,460.0,17.2,12.4,Mong Kok,3.0,52.0,2
2019-03-22 04:00:00,8.1,48.7,1.4,380.9,14.9,10.0,Tung Chung,1.0,42.0,2
2019-03-22 04:00:00,13.4,14.8,5.4,287.3,16.0,11.8,Tap Mun,1.0,49.0,2
